"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Fairfield County, CT"	"09001"	"2006"	"2006"	48	896254	5.36
	"Fairfield County, CT"	"09001"	"2007"	"2007"	46	897498	5.13
	"Fairfield County, CT"	"09001"	"2008"	"2008"	49	903824	5.42
	"Fairfield County, CT"	"09001"	"2009"	"2009"	45	910421	4.94
	"Fairfield County, CT"	"09001"	"2010"	"2010"	32	916829	3.49
	"Fairfield County, CT"	"09001"	"2011"	"2011"	29	925899	3.13
	"Fairfield County, CT"	"09001"	"2012"	"2012"	37	933835	3.96
	"Hartford County, CT"	"09003"	"2006"	"2006"	57	881298	6.47
	"Hartford County, CT"	"09003"	"2007"	"2007"	62	884548	7.01
	"Hartford County, CT"	"09003"	"2008"	"2008"	54	887891	6.08
	"Hartford County, CT"	"09003"	"2009"	"2009"	47	891667	5.27
	"Hartford County, CT"	"09003"	"2010"	"2010"	48	894014	5.37
	"Hartford County, CT"	"09003"	"2011"	"2011"	49	894705	5.48
	"Hartford County, CT"	"09003"	"2012"	"2012"	47	897259	5.24
	"Litchfield County, CT"	"09005"	"2006"	"2006"	13	189682	Unreliable
	"Litchfield County, CT"	"09005"	"2007"	"2007"	18	189866	Unreliable
	"Litchfield County, CT"	"09005"	"2008"	"2008"	13	190175	Unreliable
	"Litchfield County, CT"	"09005"	"2009"	"2009"	16	190015	Unreliable
	"Litchfield County, CT"	"09005"	"2010"	"2010"	16	189927	Unreliable
	"Litchfield County, CT"	"09005"	"2011"	"2011"	Suppressed	188789	Suppressed
	"Litchfield County, CT"	"09005"	"2012"	"2012"	12	187530	Unreliable
	"Middlesex County, CT"	"09007"	"2006"	"2006"	Suppressed	163473	Suppressed
	"Middlesex County, CT"	"09007"	"2007"	"2007"	14	164129	Unreliable
	"Middlesex County, CT"	"09007"	"2008"	"2008"	14	164962	Unreliable
	"Middlesex County, CT"	"09007"	"2009"	"2009"	Suppressed	165607	Suppressed
	"Middlesex County, CT"	"09007"	"2010"	"2010"	15	165676	Unreliable
	"Middlesex County, CT"	"09007"	"2011"	"2011"	11	166043	Unreliable
	"Middlesex County, CT"	"09007"	"2012"	"2012"	10	165602	Unreliable
	"New Haven County, CT"	"09009"	"2006"	"2006"	71	850207	8.35
	"New Haven County, CT"	"09009"	"2007"	"2007"	70	853598	8.20
	"New Haven County, CT"	"09009"	"2008"	"2008"	65	856622	7.59
	"New Haven County, CT"	"09009"	"2009"	"2009"	58	860025	6.74
	"New Haven County, CT"	"09009"	"2010"	"2010"	70	862477	8.12
	"New Haven County, CT"	"09009"	"2011"	"2011"	65	861113	7.55
	"New Haven County, CT"	"09009"	"2012"	"2012"	43	862813	4.98
	"New London County, CT"	"09011"	"2006"	"2006"	12	270814	Unreliable
